,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
42,Financial Analyst,Cairo,Egypt,DHL,Full Time,Manager,5 - 10 Yrs of Exp,Accounting | Analyst | Finance | Financial Analysis | financial analyst | Financial | Commerce,https://wuzzuf.net/jobs/p/PoKLJO97JHqE-Financial-Analyst-DHL-Cairo-Egypt?o=43&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
43,Business Analyst,Sheraton,Cairo,BlueCloud,Full Time,Experienced,2 - 3 Yrs of Exp,Communication | Information Technology (IT) | computer | Computer Engineering | Engineering | Science | Software Development,https://wuzzuf.net/jobs/p/iNRYBn2Cxe98-Business-Analyst-BlueCloud-Cairo-Egypt?o=44&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
44,Senior System Analyst,Maadi,Cairo,Confidential,Full Time,Experienced,8 - 10 Yrs of Exp,Analysis | Computer Science | Engineering | Information Systems | Design | System Analysis | Technical Writing | Documentation,https://wuzzuf.net/jobs/p/dgxKD7HBbI0Z-Senior-System-Analyst-Cairo-Egypt?o=45&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
45,Digital Operations Analyst,Cairo,Egypt,Etisalat Egypt,Full Time,Experienced,5+ Yrs of Exp,Digital Marketing | Marketing | Telecom | analytical,https://wuzzuf.net/jobs/p/UCSGcpCpJlz1-Digital-Operations-Analyst-Etisalat-Egypt-Cairo-Egypt?o=46&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
46,Senior Financial Analyst,Sheikh Zayed,Giza,Confidential,Full Time,Experienced,7 - 10 Yrs of Exp,Accounting | analytical | Analyst | Finance | Reporting | Financial Analysis | CFA | CMA,https://wuzzuf.net/jobs/p/MXl9ube4cOAe-Senior-Financial-Analyst-Giza-Egypt?o=47&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
47,Quality Assurance Analyst,Smart Village,Giza,Fawry Banking & Payment Technology Services,Full Time,Entry Level,1 - 3 Yrs of Exp,Microsoft Excel | Quality Control | Quality Assurance | Skills | English | QA | Quality,https://wuzzuf.net/jobs/p/4GpAmOEBf0Vv-Quality-Assurance-Analyst-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=48&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
48,Financial Analyst & Feasibility Study Researcher,Cairo,Egypt,Turning Point for Consultancies and Development,Part Time | Freelance / Project,Experienced,5 - 20 Yrs of Exp,Feasibility Studies | Feasibility Study | Research | Analysis | Finance | Financial Analysis | Valuation | English,https://wuzzuf.net/jobs/p/AjMPsuJnRAau-Financial-Analyst-Feasibility-Study-Researcher-Turning-Point-for-Consultancies-and-Development-Cairo-Egypt?o=49&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
49,Business Analyst,Heliopolis,Cairo,MTS,Full Time,Experienced,2 - 4 Yrs of Exp,Analysis | business | Business Analysis | Communication skills | Computer Science | Data | English,https://wuzzuf.net/jobs/p/BmFOCDQ9yjkf-Business-Analyst-MTS-Cairo-Egypt?o=50&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
50,Business Analyst ( Project Base Onsite ),Dokki,Giza,Qsource,Freelance / Project,Entry Level,1 - 2 Yrs of Exp,Agile | Analysis | Business Analysis | business | Computer Science | Development | Engineering | Data | Information Technology (IT),https://wuzzuf.net/jobs/p/6tUZ9qgnSyGE-Business-Analyst-Project-Base-Onsite-Qsource-Giza-Egypt?o=51&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
51,Business Analyst Section head,New Cairo,Cairo,EGYTURF,Full Time,Manager,5 - 8 Yrs of Exp,IT Service Management | Microsoft Certified IT Professional | Business Analysis,https://wuzzuf.net/jobs/p/piLSHyNEDA6v-Business-Analyst-Section-head-EGYTURF-Cairo-Egypt?o=52&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
52,Data Analyst,Basatin,Cairo,Rashideen Egypt for Trade,Full Time,Experienced,2 - 5 Yrs of Exp,Analysis | Data | Data Analysis | Computer Science | ERP | Database,https://wuzzuf.net/jobs/p/vooDKVW6MBLG-Data-Analyst-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=53&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
53,Junior Data Quality Engineer,Maadi,Cairo,Worex,Full Time,Entry Level,1 - 2 Yrs of Exp,Data Management | Information Technology (IT) | data quality,https://wuzzuf.net/jobs/p/Mf1k9Dc3poFD-Junior-Data-Quality-Engineer-Worex-Cairo-Egypt?o=54&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
